메뉴명,구분,가격(원),제철(월),1회제공량(g),HOT여부(Y/N),Kcal,탄수화물(g),단백질(g),지방(g),중복방지태그,알러지번호
칠리새우,main1,2130,,120,N,286,15,20,15,m477,
크림새우,main1,1900,,120,N,319,15,20,15,m478,
팔보채,main1,2050,,120,N,285,15,20,15,m479,
양장피,main1,1800,,120,N,276,15,20,15,m480,
해물파전,main1,1840,,120,N,316,15,20,15,m481,
오징어파전,main1,1880,,120,N,273,15,20,15,m482,
동태전,main1,2010,,120,N,324,15,20,15,m483,
생선전,main1,1800,,120,N,288,15,20,15,m484,
감바스,main1,1970,,120,N,318,15,20,15,m485,
연어스테이크,main1,1840,,120,N,279,15,20,15,m486,
똠얌꿍,main1,1840,,120,N,282,15,20,15,m487,
푸팟퐁커리,main1,1900,,120,N,314,15,20,15,m488,
명란파스타,main1,1800,,120,N,312,15,20,15,m489,
해산물파스타,main1,2170,,120,N,274,15,20,15,m490,
알리오올리오,main1,2120,,120,N,310,15,20,15,m491,
제육볶음,main1,2530,,150,N,425,20,25,20,m492,
간장제육볶음,main1,2530,,150,N,456,20,25,20,m493,
고추장불고기,main1,2330,,150,N,414,20,25,20,m494,
간장불고기,main1,2650,,150,N,455,20,25,20,m495,
소불고기,main1,2560,,150,N,444,20,25,20,m496,
뚝배기불고기,main1,2730,,150,N,467,20,25,20,m497,
돼지갈비찜,main1,2280,,150,N,484,20,25,20,m498,
소갈비찜,main1,2380,,150,N,461,20,25,20,m499,
매운갈비찜,main1,2360,,150,N,457,20,25,20,m500,
닭갈비,main1,2600,,150,N,434,20,25,20,m501,
치즈닭갈비,main1,2450,,150,N,408,20,25,20,m502,
찜닭,main1,2670,,150,N,445,20,25,20,m503,
안동찜닭,main1,2450,,150,N,417,20,25,20,m504,
매운찜닭,main1,2570,,150,N,440,20,25,20,m505,
로제찜닭,main1,2410,,150,N,485,20,25,20,m506,
닭도리탕,main1,2640,,150,N,461,20,25,20,m507,
닭볶음탕,main1,2460,,150,N,419,20,25,20,m508,
묵은지닭볶음탕,main1,2720,,150,N,421,20,25,20,m509,
수육,main1,2640,,150,N,429,20,25,20,m510,
보쌈,main1,2680,,150,N,405,20,25,20,m511,
족발,main1,2530,,150,N,481,20,25,20,m512,
불족발,main1,2480,,150,N,419,20,25,20,m513,
동파육,main1,2580,,150,N,420,20,25,20,m514,
탕수육,main1,2550,,150,N,477,20,25,20,m515,
사천탕수육,main1,2480,,150,N,434,20,25,20,m516,
꿔바로우,main1,2270,,150,N,406,20,25,20,m517,
유린기,main1,2300,,150,N,413,20,25,20,m518,
깐풍기,main1,2740,,150,N,408,20,25,20,m519,
라조기,main1,2390,,150,N,462,20,25,20,m520,
고추잡채,main1,2700,,150,N,406,20,25,20,m521,
마파두부,main1,2730,,150,N,427,20,25,20,m522,
돈까스,main1,2350,,150,N,410,20,25,20,m523,
치즈돈까스,main1,2360,,150,N,478,20,25,20,m524,
고구마치즈돈까스,main1,2470,,150,N,466,20,25,20,m525,
생선까스,main1,2740,,150,N,458,20,25,20,m526,
치킨까스,main1,2690,,150,N,485,20,25,20,m527,
함박스테이크,main1,2320,,150,N,423,20,25,20,m528,
미트볼,main1,2740,,150,N,410,20,25,20,m529,
찹스테이크,main1,2570,,150,N,491,20,25,20,m530,
돈까스나베,main1,2550,,150,N,473,20,25,20,m531,
가츠나베,main1,2370,,150,N,472,20,25,20,m532,
김치돈까스나베,main1,2650,,150,N,431,20,25,20,m533,
분짜,main1,2250,,150,N,457,20,25,20,m534,
반미,main1,2400,,150,N,481,20,25,20,m535,
타코,main1,2660,,150,N,476,20,25,20,m536,
화이타,main1,2350,,150,N,494,20,25,20,m537,
브리또,main1,2580,,150,N,413,20,25,20,m538,
퀘사디아,main1,2510,,150,N,457,20,25,20,m539,
바베큐폭립,main1,2710,,150,N,415,20,25,20,m540,
오징어볶음,main1,2160,,120,N,313,15,20,15,m541,
낙지볶음,main1,1860,,120,N,280,15,20,15,m542,
주꾸미볶음,main1,2100,,120,N,291,15,20,15,m543,
해물찜,main1,2000,,120,N,290,15,20,15,m544,
아구찜,main1,2140,,120,N,282,15,20,15,m545,
코다리찜,main1,2000,,120,N,305,15,20,15,m546,
고등어조림,main1,1980,,120,N,319,15,20,15,m547,
갈치조림,main1,1940,,120,N,295,15,20,15,m548,
꽁치조림,main1,2120,,120,N,322,15,20,15,m549,
가자미조림,main1,2040,,120,N,271,15,20,15,m550,
삼치조림,main1,1910,,120,N,329,15,20,15,m551,
고등어구이,main1,1960,,120,N,270,15,20,15,m552,
갈치구이,main1,1890,,120,N,270,15,20,15,m553,
꽁치구이,main1,2130,,120,N,324,15,20,15,m554,
가자미구이,main1,1840,,120,N,287,15,20,15,m555,
삼치구이,main1,2130,,120,N,311,15,20,15,m556,
조기구이,main1,2050,,120,N,271,15,20,15,m557,
굴비구이,main1,2120,,120,N,301,15,20,15,m558,
연어구이,main1,2160,,120,N,272,15,20,15,m559,
장어구이,main1,2100,,120,N,280,15,20,15,m560,
새우튀김,main1,2050,,120,N,289,15,20,15,m561,
오징어튀김,main1,2190,,120,N,281,15,20,15,m562,
김말이튀김,main1,1860,,120,N,320,15,20,15,m563,
고구마튀김,main1,1930,,120,N,291,15,20,15,m564,
야채튀김,main1,1990,,120,N,291,15,20,15,m565,
단호박튀김,main1,1850,,120,N,280,15,20,15,m566,
모둠튀김,main1,2080,,120,N,288,15,20,15,m567,
깐쇼새우,main1,1980,,120,N,273,15,20,15,m568,
칠리새우,main1,1910,,120,N,304,15,20,15,m569,
크림새우,main1,1820,,120,N,290,15,20,15,m570,
팔보채,main1,2040,,120,N,328,15,20,15,m571,
양장피,main1,2080,,120,N,273,15,20,15,m572,
해물파전,main1,1990,,120,N,302,15,20,15,m573,
오징어파전,main1,1850,,120,N,324,15,20,15,m574,
동태전,main1,1920,,120,N,293,15,20,15,m575,
생선전,main1,1810,,120,N,308,15,20,15,m576,
감바스,main1,2110,,120,N,313,15,20,15,m577,
연어스테이크,main1,1820,,120,N,322,15,20,15,m578,
똠얌꿍,main1,1820,,120,N,324,15,20,15,m579,
푸팟퐁커리,main1,2150,,120,N,305,15,20,15,m580,
명란파스타,main1,1840,,120,N,303,15,20,15,m581,
해산물파스타,main1,2170,,120,N,274,15,20,15,m582,
알리오올리오,main1,2180,,120,N,307,15,20,15,m583,
제육볶음,main1,2250,,150,N,476,20,25,20,m584,
간장제육볶음,main1,2530,,150,N,478,20,25,20,m585,
고추장불고기,main1,2420,,150,N,448,20,25,20,m586,
간장불고기,main1,2310,,150,N,469,20,25,20,m587,
소불고기,main1,2540,,150,N,423,20,25,20,m588,
뚝배기불고기,main1,2440,,150,N,479,20,25,20,m589,
돼지갈비찜,main1,2600,,150,N,411,20,25,20,m590,
소갈비찜,main1,2510,,150,N,448,20,25,20,m591,
매운갈비찜,main1,2570,,150,N,478,20,25,20,m592,
닭갈비,main1,2650,,150,N,480,20,25,20,m593,
치즈닭갈비,main1,2500,,150,N,447,20,25,20,m594,
찜닭,main1,2540,,150,N,436,20,25,20,m595,
안동찜닭,main1,2260,,150,N,433,20,25,20,m596,
매운찜닭,main1,2260,,150,N,433,20,25,20,m597,
로제찜닭,main1,2610,,150,N,409,20,25,20,m598,
닭도리탕,main1,2400,,150,N,450,20,25,20,m599,
닭볶음탕,main1,2320,,150,N,464,20,25,20,m600,
묵은지닭볶음탕,main1,2550,,150,N,454,20,25,20,m601,
수육,main1,2440,,150,N,493,20,25,20,m602,
보쌈,main1,2260,,150,N,484,20,25,20,m603,
족발,main1,2690,,150,N,467,20,25,20,m604,
불족발,main1,2570,,150,N,449,20,25,20,m605,
동파육,main1,2740,,150,N,442,20,25,20,m606,
탕수육,main1,2270,,150,N,409,20,25,20,m607,
사천탕수육,main1,2480,,150,N,465,20,25,20,m608,
꿔바로우,main1,2340,,150,N,429,20,25,20,m609,
유린기,main1,2520,,150,N,472,20,25,20,m610,
깐풍기,main1,2740,,150,N,468,20,25,20,m611,
라조기,main1,2490,,150,N,464,20,25,20,m612,
고추잡채,main1,2640,,150,N,409,20,25,20,m613,
마파두부,main1,2480,,150,N,410,20,25,20,m614,
돈까스,main1,2440,,150,N,414,20,25,20,m615,
치즈돈까스,main1,2690,,150,N,440,20,25,20,m616,
고구마치즈돈까스,main1,2340,,150,N,415,20,25,20,m617,
생선까스,main1,2380,,150,N,458,20,25,20,m618,
치킨까스,main1,2690,,150,N,433,20,25,20,m619,
함박스테이크,main1,2310,,150,N,484,20,25,20,m620,
미트볼,main1,2490,,150,N,428,20,25,20,m621,
찹스테이크,main1,2460,,150,N,445,20,25,20,m622,
돈까스나베,main1,2310,,150,N,469,20,25,20,m623,
가츠나베,main1,2580,,150,N,459,20,25,20,m624,
김치돈까스나베,main1,2720,,150,N,419,20,25,20,m625,
분짜,main1,2660,,150,N,473,20,25,20,m626,
반미,main1,2340,,150,N,444,20,25,20,m627,
타코,main1,2740,,150,N,427,20,25,20,m628,
화이타,main1,2400,,150,N,430,20,25,20,m629,
브리또,main1,2470,,150,N,405,20,25,20,m630,
퀘사디아,main1,2290,,150,N,487,20,25,20,m631,
바베큐폭립,main1,2700,,150,N,411,20,25,20,m632,
오징어볶음,main1,1990,,120,N,316,15,20,15,m633,
낙지볶음,main1,2150,,120,N,329,15,20,15,m634,
주꾸미볶음,main1,1840,,120,N,328,15,20,15,m635,
해물찜,main1,2070,,120,N,316,15,20,15,m636,
아구찜,main1,2180,,120,N,272,15,20,15,m637,
코다리찜,main1,1950,,120,N,286,15,20,15,m638,
고등어조림,main1,2190,,120,N,309,15,20,15,m639,
갈치조림,main1,2130,,120,N,295,15,20,15,m640,
꽁치조림,main1,1960,,120,N,280,15,20,15,m641,
가자미조림,main1,2070,,120,N,295,15,20,15,m642,
삼치조림,main1,2000,,120,N,303,15,20,15,m643,
고등어구이,main1,2020,,120,N,277,15,20,15,m644,
갈치구이,main1,1840,,120,N,292,15,20,15,m645,
꽁치구이,main1,1920,,120,N,305,15,20,15,m646,
가자미구이,main1,1960,,120,N,299,15,20,15,m647,
삼치구이,main1,2020,,120,N,312,15,20,15,m648,
조기구이,main1,1890,,120,N,303,15,20,15,m649,
굴비구이,main1,1970,,120,N,326,15,20,15,m650,
연어구이,main1,2120,,120,N,298,15,20,15,m651,
장어구이,main1,1880,,120,N,306,15,20,15,m652,
새우튀김,main1,2180,,120,N,314,15,20,15,m653,
오징어튀김,main1,1950,,120,N,307,15,20,15,m654,
김말이튀김,main1,1830,,120,N,296,15,20,15,m655,
고구마튀김,main1,2100,,120,N,293,15,20,15,m656,
야채튀김,main1,2090,,120,N,319,15,20,15,m657,
단호박튀김,main1,1840,,120,N,305,15,20,15,m658,
모둠튀김,main1,2010,,120,N,283,15,20,15,m659,
깐쇼새우,main1,1940,,120,N,307,15,20,15,m660,
칠리새우,main1,2180,,120,N,322,15,20,15,m661,
크림새우,main1,2080,,120,N,310,15,20,15,m662,
팔보채,main1,1950,,120,N,327,15,20,15,m663,
양장피,main1,1810,,120,N,287,15,20,15,m664,
해물파전,main1,1830,,120,N,328,15,20,15,m665,
오징어파전,main1,1980,,120,N,279,15,20,15,m666,
동태전,main1,1930,,120,N,310,15,20,15,m667,
생선전,main1,1920,,120,N,275,15,20,15,m668,
감바스,main1,2050,,120,N,326,15,20,15,m669,
연어스테이크,main1,2030,,120,N,278,15,20,15,m670,
똠얌꿍,main1,1960,,120,N,301,15,20,15,m671,
푸팟퐁커리,main1,1850,,120,N,325,15,20,15,m672,
명란파스타,main1,1880,,120,N,303,15,20,15,m673,
해산물파스타,main1,1950,,120,N,284,15,20,15,m674,
알리오올리오,main1,1980,,120,N,316,15,20,15,m675,
시금치나물,side2,450,,50,N,62,8,3,2,s676,
콩나물무침,side2,520,,50,N,56,8,3,2,s677,
숙주나물,side2,470,,50,N,62,8,3,2,s678,
고사리나물,side2,540,,50,N,61,8,3,2,s679,
도라지나물,side2,510,,50,N,62,8,3,2,s680,
취나물,side2,500,,50,N,63,8,3,2,s681,
참나물,side2,450,,50,N,60,8,3,2,s682,
비름나물,side2,500,,50,N,63,8,3,2,s683,
유채나물,side2,490,,50,N,57,8,3,2,s684,
방풍나물,side2,460,,50,N,57,8,3,2,s685,
세발나물,side2,470,,50,N,64,8,3,2,s686,
얼갈이무침,side2,450,,50,N,65,8,3,2,s687,
가지무침,side2,470,,50,N,63,8,3,2,s688,
가지볶음,side2,490,,50,N,61,8,3,2,s689,
애호박볶음,side2,520,,50,N,64,8,3,2,s690,
버섯볶음,side2,530,,50,N,57,8,3,2,s691,
느타리버섯볶음,side2,500,,50,N,59,8,3,2,s692,
표고버섯볶음,side2,460,,50,N,61,8,3,2,s693,
팽이버섯볶음,side2,530,,50,N,55,8,3,2,s694,
감자채볶음,side2,460,,50,N,65,8,3,2,s695,
감자조림,side2,520,,50,N,61,8,3,2,s696,
당근볶음,side2,540,,50,N,54,8,3,2,s697,
양파볶음,side2,540,,50,N,56,8,3,2,s698,
마늘쫑볶음,side2,490,,50,N,60,8,3,2,s699,
마늘쫑무침,side2,490,,50,N,60,8,3,2,s700,
우엉조림,side2,480,,50,N,54,8,3,2,s701,
연근조림,side2,450,,50,N,56,8,3,2,s702,
도토리묵무침,side2,450,,50,N,58,8,3,2,s703,
청포묵무침,side2,510,,50,N,55,8,3,2,s704,
오이무침,side2,450,,50,N,59,8,3,2,s705,
오이도라지무침,side2,500,,50,N,64,8,3,2,s706,
미역줄기볶음,side2,450,,50,N,54,8,3,2,s707,
파래무침,side2,540,,50,N,56,8,3,2,s708,
미역초무침,side2,450,,50,N,65,8,3,2,s709,
무생채,side2,520,,50,N,54,8,3,2,s710,
무나물,side2,460,,50,N,60,8,3,2,s711,
더덕구이,side2,460,,50,N,57,8,3,2,s712,
더덕무침,side2,460,,50,N,61,8,3,2,s713,
도라지구이,side2,540,,50,N,64,8,3,2,s714,
브로콜리숙회,side2,450,,50,N,60,8,3,2,s715,
양배추찜,side2,470,,50,N,56,8,3,2,s716,
호박잎찜,side2,450,,50,N,56,8,3,2,s717,
깻잎찜,side2,500,,50,N,57,8,3,2,s718,
깻잎순볶음,side2,500,,50,N,58,8,3,2,s719,
계란말이,side2,750,,80,N,159,5,10,8,s720,
야채계란말이,side2,720,,80,N,164,5,10,8,s721,
치즈계란말이,side2,740,,80,N,137,5,10,8,s722,
명란계란말이,side2,850,,80,N,137,5,10,8,s723,
계란찜,side2,780,,80,N,164,5,10,8,s724,
뚝배기계란찜,side2,770,,80,N,137,5,10,8,s725,
푸딩계란찜,side2,760,,80,N,148,5,10,8,s726,
계란후라이,side2,800,,80,N,153,5,10,8,s727,
스크램블에그,side2,830,,80,N,162,5,10,8,s728,
메추리알장조림,side2,810,,80,N,156,5,10,8,s729,
소고기장조림,side2,770,,80,N,146,5,10,8,s730,
돼지고기장조림,side2,810,,80,N,158,5,10,8,s731,
두부구이,side2,780,,80,N,140,5,10,8,s732,
두부조림,side2,840,,80,N,137,5,10,8,s733,
두부김치,side2,790,,80,N,158,5,10,8,s734,
마파두부,side2,870,,80,N,144,5,10,8,s735,
연두부,side2,770,,80,N,162,5,10,8,s736,
연두부샐러드,side2,740,,80,N,142,5,10,8,s737,
순두부양념장,side2,820,,80,N,164,5,10,8,s738,
건두부무침,side2,820,,80,N,145,5,10,8,s739,
어묵볶음,side2,830,,80,N,144,5,10,8,s740,
간장어묵볶음,side2,820,,80,N,139,5,10,8,s741,
매운어묵볶음,side2,850,,80,N,138,5,10,8,s742,
어묵조림,side2,790,,80,N,162,5,10,8,s743,
비엔나소시지볶음,side2,740,,80,N,163,5,10,8,s744,
소시지야채볶음,side2,870,,80,N,152,5,10,8,s745,
햄구이,side2,820,,80,N,142,5,10,8,s746,
스팸구이,side2,830,,80,N,150,5,10,8,s747,
동그랑땡,side2,720,,80,N,149,5,10,8,s748,
너비아니,side2,760,,80,N,159,5,10,8,s749,
떡갈비,side2,850,,80,N,155,5,10,8,s750,
미트볼조림,side2,730,,80,N,135,5,10,8,s751,
장어강정,side2,840,,80,N,149,5,10,8,s752,
치킨너겟,side2,820,,80,N,136,5,10,8,s753,
용가리치킨,side2,860,,80,N,147,5,10,8,s754,
팝콘치킨,side2,860,,80,N,137,5,10,8,s755,
탕수만두,side2,850,,80,N,136,5,10,8,s756,
군만두,side2,760,,80,N,150,5,10,8,s757,
물만두,side2,870,,80,N,136,5,10,8,s758,
찐만두,side2,820,,80,N,140,5,10,8,s759,
타코야끼,side2,830,,80,N,160,5,10,8,s760,
멸치볶음,side2,630,,30,N,90,10,5,3,s761,
잔멸치볶음,side2,680,,30,N,102,10,5,3,s762,
호두멸치볶음,side2,760,,30,N,100,10,5,3,s763,
아몬드멸치볶음,side2,690,,30,N,90,10,5,3,s764,
꽈리고추멸치볶음,side2,690,,30,N,108,10,5,3,s765,
진미채볶음,side2,760,,30,N,101,10,5,3,s766,
진미채무침,side2,670,,30,N,108,10,5,3,s767,
오징어채볶음,side2,660,,30,N,105,10,5,3,s768,
쥐포볶음,side2,650,,30,N,101,10,5,3,s769,
뱅어포구이,side2,730,,30,N,108,10,5,3,s770,
새우볶음,side2,690,,30,N,109,10,5,3,s771,
건새우볶음,side2,700,,30,N,98,10,5,3,s772,
마늘쫑건새우볶음,side2,730,,30,N,91,10,5,3,s773,
땅콩조림,side2,700,,30,N,91,10,5,3,s774,
검은콩조림,side2,760,,30,N,99,10,5,3,s775,
김가루무침,side2,690,,30,N,97,10,5,3,s776,
김자반,side2,630,,30,N,105,10,5,3,s777,
조미김,side2,650,,30,N,108,10,5,3,s778,
파래김,side2,760,,30,N,101,10,5,3,s779,
돌김,side2,720,,30,N,99,10,5,3,s780,
감태,side2,730,,30,N,98,10,5,3,s781,
야채샐러드,side2,960,,100,N,124,15,2,8,s782,
그린샐러드,side2,910,,100,N,116,15,2,8,s783,
양상추샐러드,side2,940,,100,N,127,15,2,8,s784,
케이준치킨샐러드,side2,900,,100,N,124,15,2,8,s785,
리코타치즈샐러드,side2,1060,,100,N,122,15,2,8,s786,
단호박샐러드,side2,1090,,100,N,110,15,2,8,s787,
고구마샐러드,side2,900,,100,N,112,15,2,8,s788,
감자샐러드,side2,1080,,100,N,120,15,2,8,s789,
마카로니샐러드,side2,1040,,100,N,111,15,2,8,s790,
콘샐러드,side2,1030,,100,N,131,15,2,8,s791,
게살샐러드,side2,990,,100,N,120,15,2,8,s792,
연어샐러드,side2,980,,100,N,111,15,2,8,s793,
토마토카프레제,side2,1030,,100,N,116,15,2,8,s794,
과일샐러드,side2,1010,,100,N,125,15,2,8,s795,
사과샐러드,side2,1050,,100,N,121,15,2,8,s796,
오리엔탈샐러드,side2,910,,100,N,118,15,2,8,s797,
흑임자샐러드,side2,1000,,100,N,125,15,2,8,s798,
요거트샐러드,side2,970,,100,N,126,15,2,8,s799,
발사믹샐러드,side2,1010,,100,N,121,15,2,8,s800,
포케,side2,1090,,100,N,121,15,2,8,s801,
연어포케,side2,1010,,100,N,121,15,2,8,s802,
참치포케,side2,1070,,100,N,123,15,2,8,s803,
닭가슴살포케,side2,980,,100,N,114,15,2,8,s804,
두부포케,side2,1020,,100,N,118,15,2,8,s805,
콥샐러드,side2,990,,100,N,125,15,2,8,s806,
부라타치즈샐러드,side2,1040,,100,N,122,15,2,8,s807,
시금치나물,side2,520,,50,N,56,8,3,2,s808,
콩나물무침,side2,490,,50,N,63,8,3,2,s809,
숙주나물,side2,520,,50,N,62,8,3,2,s810,
고사리나물,side2,490,,50,N,59,8,3,2,s811,
도라지나물,side2,450,,50,N,60,8,3,2,s812,
취나물,side2,530,,50,N,56,8,3,2,s813,
참나물,side2,540,,50,N,62,8,3,2,s814,
비름나물,side2,530,,50,N,60,8,3,2,s815,
유채나물,side2,530,,50,N,56,8,3,2,s816,
방풍나물,side2,530,,50,N,57,8,3,2,s817,
세발나물,side2,500,,50,N,62,8,3,2,s818,
얼갈이무침,side2,470,,50,N,54,8,3,2,s819,
가지무침,side2,540,,50,N,54,8,3,2,s820,
가지볶음,side2,470,,50,N,60,8,3,2,s821,
애호박볶음,side2,480,,50,N,60,8,3,2,s822,
버섯볶음,side2,510,,50,N,61,8,3,2,s823,
느타리버섯볶음,side2,500,,50,N,62,8,3,2,s824,
표고버섯볶음,side2,530,,50,N,59,8,3,2,s825,
팽이버섯볶음,side2,450,,50,N,61,8,3,2,s826,
감자채볶음,side2,450,,50,N,64,8,3,2,s827,
감자조림,side2,450,,50,N,54,8,3,2,s828,
당근볶음,side2,520,,50,N,65,8,3,2,s829,
양파볶음,side2,470,,50,N,64,8,3,2,s830,
마늘쫑볶음,side2,450,,50,N,61,8,3,2,s831,
마늘쫑무침,side2,510,,50,N,60,8,3,2,s832,
우엉조림,side2,540,,50,N,62,8,3,2,s833,
연근조림,side2,480,,50,N,62,8,3,2,s834,
도토리묵무침,side2,490,,50,N,60,8,3,2,s835,
청포묵무침,side2,490,,50,N,54,8,3,2,s836,
오이무침,side2,460,,50,N,58,8,3,2,s837,
오이도라지무침,side2,500,,50,N,64,8,3,2,s838,
미역줄기볶음,side2,540,,50,N,59,8,3,2,s839,
파래무침,side2,500,,50,N,64,8,3,2,s840,
미역초무침,side2,510,,50,N,57,8,3,2,s841,
무생채,side2,500,,50,N,64,8,3,2,s842,
무나물,side2,470,,50,N,59,8,3,2,s843,
더덕구이,side2,460,,50,N,61,8,3,2,s844,
더덕무침,side2,460,,50,N,64,8,3,2,s845,
도라지구이,side2,500,,50,N,59,8,3,2,s846,
브로콜리숙회,side2,500,,50,N,61,8,3,2,s847,
양배추찜,side2,510,,50,N,59,8,3,2,s848,
호박잎찜,side2,450,,50,N,59,8,3,2,s849,
깻잎찜,side2,460,,50,N,61,8,3,2,s850,
깻잎순볶음,side2,490,,50,N,57,8,3,2,s851,
계란말이,side2,780,,80,N,148,5,10,8,s852,
야채계란말이,side2,810,,80,N,153,5,10,8,s853,
치즈계란말이,side2,870,,80,N,151,5,10,8,s854,
명란계란말이,side2,750,,80,N,144,5,10,8,s855,
계란찜,side2,860,,80,N,160,5,10,8,s856,
뚝배기계란찜,side2,750,,80,N,161,5,10,8,s857,
푸딩계란찜,side2,800,,80,N,161,5,10,8,s858,
계란후라이,side2,800,,80,N,155,5,10,8,s859,
스크램블에그,side2,850,,80,N,141,5,10,8,s860,
메추리알장조림,side2,790,,80,N,152,5,10,8,s861,
소고기장조림,side2,750,,80,N,149,5,10,8,s862,
돼지고기장조림,side2,850,,80,N,148,5,10,8,s863,
두부구이,side2,820,,80,N,153,5,10,8,s864,
두부조림,side2,720,,80,N,149,5,10,8,s865,
두부김치,side2,840,,80,N,159,5,10,8,s866,
마파두부,side2,740,,80,N,135,5,10,8,s867,
연두부,side2,830,,80,N,146,5,10,8,s868,
연두부샐러드,side2,840,,80,N,149,5,10,8,s869,
순두부양념장,side2,860,,80,N,149,5,10,8,s870,
건두부무침,side2,820,,80,N,159,5,10,8,s871,
어묵볶음,side2,790,,80,N,154,5,10,8,s872,
간장어묵볶음,side2,810,,80,N,151,5,10,8,s873,
매운어묵볶음,side2,780,,80,N,141,5,10,8,s874,
어묵조림,side2,720,,80,N,162,5,10,8,s875,
비엔나소시지볶음,side2,840,,80,N,147,5,10,8,s876,
소시지야채볶음,side2,760,,80,N,138,5,10,8,s877,
햄구이,side2,770,,80,N,157,5,10,8,s878,
스팸구이,side2,730,,80,N,149,5,10,8,s879,
동그랑땡,side2,830,,80,N,155,5,10,8,s880,
너비아니,side2,870,,80,N,142,5,10,8,s881,
떡갈비,side2,830,,80,N,160,5,10,8,s882,
미트볼조림,side2,810,,80,N,153,5,10,8,s883,
장어강정,side2,750,,80,N,138,5,10,8,s884,
치킨너겟,side2,720,,80,N,149,5,10,8,s885,
용가리치킨,side2,800,,80,N,152,5,10,8,s886,
팝콘치킨,side2,820,,80,N,163,5,10,8,s887,
탕수만두,side2,870,,80,N,141,5,10,8,s888,
군만두,side2,760,,80,N,141,5,10,8,s889,
물만두,side2,840,,80,N,151,5,10,8,s890,
찐만두,side2,790,,80,N,155,5,10,8,s891,
타코야끼,side2,790,,80,N,144,5,10,8,s892,
멸치볶음,side2,690,,30,N,104,10,5,3,s893,
잔멸치볶음,side2,650,,30,N,99,10,5,3,s894,
호두멸치볶음,side2,730,,30,N,91,10,5,3,s895,
아몬드멸치볶음,side2,670,,30,N,103,10,5,3,s896,
꽈리고추멸치볶음,side2,680,,30,N,105,10,5,3,s897,
진미채볶음,side2,730,,30,N,102,10,5,3,s898,
진미채무침,side2,750,,30,N,104,10,5,3,s899,
오징어채볶음,side2,720,,30,N,93,10,5,3,s900,
쥐포볶음,side2,650,,30,N,95,10,5,3,s901,
뱅어포구이,side2,740,,30,N,109,10,5,3,s902,
새우볶음,side2,630,,30,N,97,10,5,3,s903,
건새우볶음,side2,640,,30,N,99,10,5,3,s904,
마늘쫑건새우볶음,side2,760,,30,N,93,10,5,3,s905,
땅콩조림,side2,760,,30,N,103,10,5,3,s906,
검은콩조림,side2,650,,30,N,109,10,5,3,s907,
김가루무침,side2,640,,30,N,92,10,5,3,s908,
김자반,side2,730,,30,N,94,10,5,3,s909,
조미김,side2,730,,30,N,94,10,5,3,s910,
파래김,side2,700,,30,N,101,10,5,3,s911,
돌김,side2,700,,30,N,99,10,5,3,s912,
감태,side2,680,,30,N,109,10,5,3,s913,
야채샐러드,side2,920,,100,N,127,15,2,8,s914,
그린샐러드,side2,920,,100,N,120,15,2,8,s915,
양상추샐러드,side2,910,,100,N,126,15,2,8,s916,
케이준치킨샐러드,side2,910,,100,N,111,15,2,8,s917,
리코타치즈샐러드,side2,1000,,100,N,118,15,2,8,s918,
단호박샐러드,side2,1080,,100,N,116,15,2,8,s919,
고구마샐러드,side2,980,,100,N,115,15,2,8,s920,
감자샐러드,side2,950,,100,N,113,15,2,8,s921,
마카로니샐러드,side2,920,,100,N,117,15,2,8,s922,
콘샐러드,side2,1070,,100,N,129,15,2,8,s923,
게살샐러드,side2,1030,,100,N,123,15,2,8,s924,
연어샐러드,side2,950,,100,N,119,15,2,8,s925,
토마토카프레제,side2,990,,100,N,123,15,2,8,s926,
과일샐러드,side2,1010,,100,N,117,15,2,8,s927,
사과샐러드,side2,1030,,100,N,111,15,2,8,s928,
오리엔탈샐러드,side2,1040,,100,N,128,15,2,8,s929,
흑임자샐러드,side2,1000,,100,N,125,15,2,8,s930,
요거트샐러드,side2,1030,,100,N,126,15,2,8,s931,
발사믹샐러드,side2,1000,,100,N,112,15,2,8,s932,
포케,side2,910,,100,N,122,15,2,8,s933,
연어포케,side2,910,,100,N,117,15,2,8,s934,
참치포케,side2,950,,100,N,124,15,2,8,s935,
닭가슴살포케,side2,920,,100,N,131,15,2,8,s936,
두부포케,side2,930,,100,N,114,15,2,8,s937,
콥샐러드,side2,1030,,100,N,113,15,2,8,s938,
부라타치즈샐러드,side2,1000,,100,N,123,15,2,8,s939,
시금치나물,side2,460,,50,N,55,8,3,2,s940,
콩나물무침,side2,490,,50,N,55,8,3,2,s941,
숙주나물,side2,510,,50,N,63,8,3,2,s942,
고사리나물,side2,520,,50,N,59,8,3,2,s943,
도라지나물,side2,510,,50,N,60,8,3,2,s944,
취나물,side2,480,,50,N,59,8,3,2,s945,
참나물,side2,450,,50,N,64,8,3,2,s946,
비름나물,side2,470,,50,N,55,8,3,2,s947,
유채나물,side2,490,,50,N,62,8,3,2,s948,
방풍나물,side2,450,,50,N,63,8,3,2,s949,
세발나물,side2,460,,50,N,63,8,3,2,s950,
얼갈이무침,side2,490,,50,N,65,8,3,2,s951,
가지무침,side2,450,,50,N,57,8,3,2,s952,
가지볶음,side2,470,,50,N,55,8,3,2,s953,
애호박볶음,side2,540,,50,N,62,8,3,2,s954,
버섯볶음,side2,530,,50,N,64,8,3,2,s955,
